GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
2 1 106 288 394 0 397
1 1 2 3 5 1 8
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 3 5 0 8
2 1 2 3 5 0 8
2 1 2 3 5 0 8
2 1 3 3 6 0 9
3 2 2 2 4 1 10
2 1 1 2 3 0 6
2 1 1 4 5 1 9
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 3 5 1 9
2 1 1 3 4 0 7
2 1 2 3 5 0 8
1 1 2 3 5 0 7
2 1 2 2 4 0 7
2 1 2 3 5 0 8
1 1 2 3 5 0 7
2 1 2 3 5 0 8
2 1 1 3 4 0 7
1 1 2 3 5 0 7
2 1 2 2 4 0 7
2 1 2 3 5 0 8
2 1 2 3 5 0 8
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 1 2 3 0 6
2 1 2 2 4 0 7
2 1 1 3 4 0 7
2 1 2 3 5 0 8
1 1 2 4 6 0 8
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 3 5 0 8
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 1 3 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
2 1 2 2 4 0 7
