GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
36 33 127 11 207
44 24 119 6 193
41 30 120 11 202
39 30 123 23 215
41 33 122 16 212
36 33 128 12 209
40 30 121 16 207
37 33 125 16 211
38 32 132 12 214
41 31 122 23 217
43 27 116 26 212
38 31 124 36 229
35 34 126 23 218
36 33 126 18 213
40 29 122 17 208
42 29 119 16 206
38 32 120 12 202
37 32 123 16 208
38 32 123 31 224
35 35 126 15 211
35 37 130 23 225
38 34 125 23 220
38 32 124 8 202
37 32 127 11 207
38 32 128 19 217
36 34 128 16 214
43 29 119 11 202
36 35 125 21 217
40 30 123 15 208
36 31 127 19 213
38 31 128 17 214
47 27 111 10 195
44 29 116 8 197
38 32 122 20 212
44 27 118 8 197
39 32 128 14 213
36 32 128 12 208
39 31 123 26 219
43 28 121 15 207
44 30 114 19 207
40 31 128 20 219
39 31 123 15 208
38 31 125 12 206
39 30 128 13 210
42 28 121 15 206
38 32 127 17 214
40 33 123 18 214
47 26 117 11 201
44 29 115 19 207
35 33 128 16 212
