GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
35 31 124 11 201
43 24 118 6 191
41 29 120 11 201
37 29 123 23 212
39 27 123 17 206
36 32 129 13 210
40 30 121 17 208
36 33 124 16 209
36 31 121 10 198
40 31 124 24 219
41 27 116 26 210
39 30 121 36 226
36 33 127 23 219
35 32 124 19 210
39 29 119 18 205
40 29 117 16 202
38 31 118 12 199
36 32 122 16 206
37 31 123 32 223
34 34 125 15 208
34 35 130 24 223
37 33 126 24 220
38 31 125 9 203
37 32 127 12 208
38 30 124 19 211
35 32 129 17 213
41 29 118 11 199
35 34 124 21 214
40 30 124 15 209
35 31 127 20 213
37 31 126 18 212
45 26 112 10 193
42 28 117 8 195
38 32 122 21 213
43 27 118 9 197
38 32 122 12 204
35 31 128 13 207
38 31 122 27 218
43 27 122 16 208
42 30 114 19 205
39 30 125 19 213
37 31 122 17 207
36 31 126 11 204
38 30 125 14 207
40 29 120 16 205
37 31 128 17 213
38 32 124 18 212
45 26 116 11 198
43 28 115 19 205
35 32 127 16 210
