GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
146 175 578 117 1016
203 110 530 70 913
157 162 557 102 978
176 137 568 55 936
170 149 546 68 933
172 137 581 41 931
179 138 554 39 910
169 144 575 82 970
166 153 581 73 973
159 156 585 76 976
152 161 589 158 1060
164 162 573 66 965
163 150 575 57 945
154 157 582 86 979
161 155 569 63 948
153 163 569 61 946
167 150 562 161 1040
163 162 561 53 939
169 155 552 65 941
150 168 597 117 1032
164 158 558 92 972
161 152 561 187 1061
168 154 552 66 940
159 158 570 88 975
159 150 577 103 989
180 144 552 74 950
156 173 598 92 1019
170 158 538 72 938
166 152 564 50 932
166 155 573 45 939
164 161 563 80 968
154 163 575 64 956
165 156 559 105 985
164 150 573 104 991
167 152 566 86 971
163 154 572 95 984
170 151 550 50 921
164 148 559 79 950
162 148 578 68 956
164 154 562 66 946
172 146 567 113 998
170 139 566 63 938
169 155 545 147 1016
161 153 569 97 980
170 147 562 75 954
166 155 555 57 933
154 161 561 94 970
169 153 555 63 940
162 163 553 75 953
165 148 572 86 971
